Depth (ft)	Density (g/cc)	t_compressional (micros/ft)	t_shear (micros/ft)
5293	2.6276	68.1704	124.3632
5293.5	2.6132	69.6685	125.8357
5294	2.6158	70.0246	128.0334
5294.5	2.6295	69.9523	131.0499
5295	2.6071	70.3418	128.1228
5295.5	2.6043	68.6371	126.6188
5296	2.616	65.3659	125.765
5296.5	2.6166	62.7738	112.9288
5297	2.6409	60.0301	110.5915
5297.5	2.6427	56.8339	101.7155
5298	2.7035	56.5426	103.1925
5298.5	2.7192	62.1841	110.3809
5299	2.7355	66.2553	110.0348
5299.5	2.6968	70.8229	111.7148
5300	2.6105	72.2825	112.2541
5300.5	2.5395	71.6002	112.8613
5301	2.5499	68.8712	121.1135
5301.5	2.5633	65.0932	123.1137
5302	2.5932	65.8073	124.9882
5302.5	2.6375	62.7285	128.9845
5303	2.6259	62.3771	131.1137
5303.5	2.6278	62.5137	138.0711
5304	2.5507	60.3817	147.364
5304.5	2.5442	55.3535	146.7156
5305	2.6996	55.7934	146.7156
5305.5	2.7117	54.0028	144.3957
5306	2.697	53.9996	140.1682
5306.5	2.669	54.2427	133.2588
5307	2.6328	54.7154	126.2083
5307.5	2.6381	53.9448	128.4745
5308	2.646	53.7153	96.4229
5308.5	2.6611	52.8523	94.6773
5309	2.6427	52.4354	92.738
5309.5	2.6851	51.7245	91.4536
5310	2.6353	51.1991	93.0264
5310.5	2.6346	51.9846	94.0221
5311	2.7379	50.8721	93.3931
5311.5	2.71	50.7803	97.6009
5312	2.6718	50.9695	94.7759
5312.5	2.6764	50.8878	92.0415
5313	2.7246	50.0037	94.1712
5313.5	2.7225	50.125	95.8702
5314	2.7185	51.1565	94.4896
5314.5	2.7175	51.2193	99.6296
5315	2.7275	51.4669	99.5065
5315.5	2.7367	51.835	105.1902
5316	2.7187	52.3551	97.2687
5316.5	2.7004	52.9514	94.2612
5317	2.7197	53.8642	96.8512
5317.5	2.7255	54.4041	92.9949
5318	2.6384	54.3096	92.9949
5318.5	2.6214	54.1962	91.6047
5319	2.6532	54.1729	97.1004
5319.5	2.6644	54.0153	95.6945
5320	2.6722	53.9723	94.8079
5320.5	2.6787	53.882	92.4818
5321	2.627	53.592	92.5459
5321.5	2.6329	52.8308	94.1936
5322	2.6139	52.6105	93.9054
5322.5	2.628	52.0761	94.9174
5323	2.6453	51.9875	94.0315
5323.5	2.7045	51.8896	92.6095
5324	2.6844	52.6661	102.0201
5324.5	2.6669	55.1297	102.6702
5325	2.6909	55.7742	100.9126
5325.5	2.7315	56.7438	107.8844
5326	2.6909	55.9972	104.2694
5326.5	2.6607	53.487	104.5225
5327	2.5024	52.0748	102.373
5327.5	2.7251	50.1469	99.2535
5328	2.7436	48.5545	95.1848
5328.5	2.7386	48.6377	96.6646
5329	2.7285	48.9484	89.8093
5329.5	2.7322	49.3241	90.7592
5330	2.7401	49.428	91.2798
5330.5	2.7331	48.7469	92.6371
5331	2.7252	48.5085	92.9345
5331.5	2.7106	48.5774	90.5898
5332	2.7138	48.0768	89.8269
5332.5	2.7106	48.1798	91.2072
5333	2.7641	48.1006	92.2402
5333.5	2.7334	48.1084	92.0566
5334	2.7192	48.2051	91.3452
5334.5	2.7137	48.1842	90.516
5335	2.7292	48.0728	92.3992
5335.5	2.7335	48.1242	93.3747
5336	2.7225	48.5014	94.1915
5336.5	2.7269	48.4438	92.4918
5337	2.7341	48.5081	92.2763
5337.5	2.7402	48.1163	92.7246
5338	2.7408	48.4356	92.8061
5338.5	2.7422	49.6047	91.4015
5339	2.7361	50.1869	91.0266
5339.5	2.7283	50.7055	92.4105
5340	2.7225	51.9433	84.5599
5340.5	2.7089	53.4957	80.7869
5341	2.6981	51.9551	159.3488
5341.5	2.7158	50.1817	137.3345
5342	2.7444	49.5172	132.3248
5342.5	2.7359	45.9313	133.099
5343	2.5915	48.0506	139.1536
5343.5	2.2883	45.7448	148.6971
5344	2.6057	47.9083	139.6218
5344.5	2.6971	48.8231	95.3932
5345	2.7054	48.4585	101.3594
5345.5	2.7164	49.8615	97.8863
5346	2.724	50.4186	93.1642
5346.5	2.7213	50.7278	92.2446
5347	2.6728	50.9367	92.3127
5347.5	2.6951	51.0115	92.9829
5348	2.7112	50.9851	93.1543
5348.5	2.71	50.8158	91.5932
5349	2.6949	50.8735	92.098
5349.5	2.6881	50.817	92.098
5350	2.7361	50.5385	93.1757
5350.5	2.709	50.8482	91.8422
5351	2.7114	51.3017	89.9197
5351.5	2.7119	50.7256	91.4169
5352	2.7023	50.9143	92.8223
5352.5	2.6935	50.4066	91.9803
5353	2.6885	50.3185	90.6749
5353.5	2.711	51.0893	92.3044
5354	2.7219	51.2107	92.6473
5354.5	2.7186	50.7321	91.7086
5355	2.7238	50.9274	90.1348
5355.5	2.7058	51.2098	93.4712
5356	2.6849	51.8518	92.9058
5356.5	2.6935	51.2256	91.6244
5357	2.7224	51.2696	93.3893
5357.5	2.6668	51.8344	93.2081
5358	2.7103	51.6828	93.9924
5358.5	2.6794	51.7488	91.4484
5359	2.6624	51.7016	91.3379
5359.5	2.689	51.4771	90.0089
5360	2.6664	51.3759	90.041
5360.5	2.7124	51.118	91.6234
5361	2.6845	50.5601	91.0491
5361.5	2.6867	51.112	89.2384
5362	2.7103	50.948	87.5359
5362.5	2.728	51.2761	87.4341
5363	2.7089	51.3625	87.3228
5363.5	2.7069	51.5891	89.6524
5364	2.6833	51.2847	87.3635
5364.5	2.68	50.9055	86.6847
5365	2.6999	50.4629	86.4739
5365.5	2.6945	51.0045	86.799
5366	2.7073	50.8679	86.7823
5366.5	2.7033	50.9108	91.2438
5367	2.7376	50.8403	91.306
5367.5	2.7073	50.5365	92.2711
