depthft	density_gcc	s_v	hydrostatic_pres	porosity1	porosity2	eff_v_stress
3920	2.248	18.741	11.709	0.31	0.266	7.032
3921	2.262	18.748	11.712	0.31	0.258	7.036
3922	2.274	18.754	11.715	0.31	0.251	7.039
3923	2.262	18.761	11.718	0.31	0.258	7.043
3924	2.254	18.768	11.721	0.31	0.262	7.047
3925	2.226	18.775	11.724	0.31	0.279	7.051
3926	2.21	18.781	11.727	0.31	0.288	7.054
3927	2.236	18.788	11.73	0.309	0.273	7.058
3928	2.23	18.795	11.733	0.309	0.276	7.061
3929	2.235	18.801	11.736	0.309	0.274	7.065
3930	2.254	18.808	11.739	0.309	0.262	7.069
3931	2.294	18.815	11.742	0.309	0.239	7.073
3932	2.295	18.822	11.745	0.309	0.238	7.077
3933	2.278	18.828	11.748	0.309	0.248	7.08
3934	2.256	18.835	11.751	0.309	0.261	7.084
3935	2.268	18.842	11.754	0.309	0.254	7.088
3936	2.251	18.849	11.757	0.309	0.264	7.092
3937	2.258	18.855	11.76	0.309	0.26	7.096
3938	2.236	18.862	11.763	0.309	0.273	7.099
3939	2.22	18.869	11.766	0.309	0.282	7.103
3940	2.22	18.875	11.769	0.309	0.282	7.106
3941	2.236	18.882	11.772	0.309	0.273	7.11
3942	2.239	18.889	11.775	0.309	0.271	7.114
3943	2.232	18.895	11.778	0.309	0.275	7.118
3944	2.214	18.902	11.781	0.309	0.286	7.121
3945	2.21	18.909	11.784	0.309	0.288	7.125
3946	2.22	18.915	11.787	0.309	0.282	7.128
3947	2.246	18.922	11.79	0.309	0.267	7.132
3948	2.232	18.929	11.793	0.309	0.275	7.136
3949	2.206	18.935	11.796	0.309	0.291	7.139
3950	2.239	18.942	11.799	0.309	0.271	7.143
3951	2.226	18.949	11.802	0.309	0.279	7.147
3952	2.238	18.955	11.805	0.309	0.272	7.151
3953	2.222	18.962	11.808	0.309	0.281	7.154
3954	2.21	18.969	11.811	0.309	0.288	7.158
3955	2.23	18.975	11.814	0.308	0.276	7.161
3956	2.23	18.982	11.817	0.308	0.276	7.165
3957	2.226	18.988	11.82	0.308	0.279	7.169
3958	2.206	18.995	11.823	0.308	0.291	7.172
3959	2.178	19.002	11.826	0.308	0.307	7.176
3960	2.178	19.008	11.829	0.308	0.307	7.179
3961	2.182	19.015	11.832	0.308	0.305	7.183
3962	2.204	19.021	11.835	0.308	0.292	7.187
3963	2.25	19.028	11.838	0.308	0.265	7.19
