depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
5618.0	2.619	42.631	16.781	0.048	25.668
5618.5	2.56	42.634	16.783	0.082	25.086
5619.0	2.551	42.638	16.784	0.087	25.004
5619.5	2.548	42.642	16.786	0.089	24.971
5620.0	2.546	42.646	16.787	0.09	24.956
5620.5	2.511	42.65	16.789	0.111	24.608
5621.0	2.541	42.653	16.79	0.094	24.9
5621.5	2.544	42.657	16.792	0.092	24.928
5622.0	2.559	42.661	16.793	0.083	25.078
5622.5	2.59	42.665	16.795	0.065	25.38
5623.0	2.579	42.669	16.796	0.071	25.278
5623.5	2.577	42.673	16.798	0.073	25.252
5624.0	2.549	42.676	16.799	0.089	24.983
5624.5	2.547	42.68	16.801	0.09	24.957
5625.0	2.562	42.684	16.802	0.081	25.104
5625.5	2.567	42.688	16.804	0.078	25.16
5626.0	2.559	42.692	16.805	0.083	25.074
5626.5	2.566	42.696	16.807	0.079	25.149
5627.0	2.584	42.699	16.808	0.068	25.328
5627.5	2.636	42.703	16.81	0.038	25.835
5628.0	2.651	42.707	16.811	0.029	25.978
5628.5	2.589	42.711	16.813	0.065	25.375
5629.0	2.585	42.715	16.814	0.068	25.333
5629.5	2.652	42.719	16.816	0.028	25.991
5630.0	2.656	42.723	16.817	0.026	26.033
5630.5	2.66	42.727	16.819	0.024	26.068
5631.0	2.643	42.731	16.82	0.033	25.903
5631.5	2.569	42.735	16.822	0.077	25.18
5632.0	2.531	42.739	16.823	0.099	24.807
5632.5	2.619	42.742	16.825	0.048	25.667
5633.0	2.589	42.746	16.826	0.065	25.371
5633.5	2.559	42.75	16.827	0.083	25.08
5634.0	2.521	42.754	16.829	0.105	24.703
5634.5	2.622	42.758	16.83	0.046	25.7
5635.0	2.583	42.762	16.832	0.069	25.313
5635.5	2.438	42.765	16.833	0.154	23.892
5636.0	2.552	42.769	16.835	0.087	25.014
5636.5	2.545	42.773	16.836	0.091	24.939
5637.0	2.537	42.777	16.838	0.096	24.862
5637.5	2.534	42.78	16.839	0.098	24.835
5638.0	2.505	42.784	16.841	0.115	24.547
5638.5	2.555	42.788	16.842	0.085	25.036
5639.0	2.562	42.792	16.844	0.081	25.113
5639.5	2.666	42.796	16.845	0.02	26.131
5640.0	2.647	42.8	16.847	0.031	25.938
5640.5	2.66	42.804	16.848	0.023	26.073
5641.0	2.754	42.808	16.85	-0.032	26.994
5641.5	2.852	42.812	16.851	-0.089	27.949
5642.0	2.709	42.816	16.853	-0.005	26.544
5642.5	2.685	42.82	16.854	0.009	26.312
5643.0	2.668	42.824	16.856	0.019	26.146
5643.5	2.696	42.828	16.857	0.002	26.424
5644.0	2.717	42.832	16.859	-0.01	26.629
5644.5	2.566	42.836	16.86	0.079	25.145
5645.0	2.634	42.84	16.862	0.039	25.813
5645.5	2.65	42.844	16.863	0.029	25.975
5646.0	2.71	42.848	16.865	-0.006	26.553
5646.5	2.746	42.852	16.866	-0.027	26.911
5647.0	2.698	42.856	16.868	0.001	26.443
5647.5	2.645	42.86	16.869	0.032	25.92
5648.0	2.607	42.864	16.871	0.055	25.551
5648.5	2.469	42.868	16.872	0.136	24.198
5649.0	2.45	42.871	16.874	0.147	24.015
5649.5	2.473	42.875	16.875	0.133	24.237
5650.0	2.463	42.879	16.877	0.139	24.138
5650.5	2.481	42.882	16.878	0.129	24.311
5651.0	2.488	42.886	16.88	0.124	24.387
5651.5	2.474	42.89	16.881	0.133	24.246
5652.0	2.476	42.894	16.883	0.132	24.268
5652.5	2.492	42.897	16.884	0.123	24.418
5653.0	2.46	42.901	16.886	0.141	24.103
5653.5	2.509	42.905	16.887	0.112	24.588
5654.0	2.493	42.908	16.889	0.122	24.433
5654.5	2.501	42.912	16.89	0.117	24.51
5655.0	2.475	42.916	16.892	0.133	24.251
5655.5	2.488	42.92	16.893	0.125	24.384
5656.0	2.491	42.923	16.895	0.123	24.413
5656.5	2.555	42.927	16.896	0.085	25.042
5657.0	2.483	42.931	16.898	0.128	24.335
5657.5	2.518	42.935	16.899	0.107	24.673
5658.0	2.552	42.938	16.901	0.087	25.01
5658.5	2.523	42.942	16.902	0.104	24.723
5659.0	2.455	42.946	16.904	0.144	24.055
5659.5	2.496	42.95	16.905	0.12	24.457
5660.0	2.494	42.953	16.907	0.121	24.443
5660.5	2.493	42.957	16.908	0.122	24.429
5661.0	2.518	42.961	16.91	0.107	24.681
5661.5	2.588	42.965	16.911	0.066	25.358
5662.0	2.641	42.969	16.913	0.035	25.882
5662.5	2.607	42.972	16.914	0.055	25.552
5663.0	2.605	42.976	16.916	0.056	25.525
5663.5	2.588	42.98	16.917	0.066	25.365
5664.0	2.592	42.984	16.919	0.064	25.401
5664.5	2.489	42.988	16.92	0.124	24.393
5665.0	2.485	42.992	16.922	0.126	24.355
5665.5	2.598	42.995	16.923	0.06	25.461
5666.0	2.449	42.999	16.925	0.147	24.003
5666.5	2.503	43.003	16.926	0.116	24.527
5667.0	2.498	43.007	16.928	0.119	24.484
5667.5	2.733	43.011	16.929	-0.019	26.78
5668.0	2.654	43.015	16.931	0.027	26.011
5668.5	2.623	43.018	16.932	0.045	25.705
5669.0	2.607	43.022	16.934	0.055	25.552
5669.5	2.699	43.026	16.935	0.001	26.447
5670.0	2.515	43.03	16.937	0.109	24.644
5670.5	2.66	43.034	16.938	0.024	26.064
5671.0	2.713	43.038	16.94	-0.007	26.583
5671.5	2.71	43.042	16.941	-0.006	26.56
5672.0	2.618	43.046	16.942	0.048	25.661
