depthft	density_gcc	s_v	hydrostatic_pres	porosity	gradient
3879	2.25	18.464	11.587	0.265	22.05
3880	2.276	18.471	11.59	0.249	22.305
3881	2.3	18.478	11.593	0.235	22.54
3882	2.286	18.485	11.596	0.244	22.403
3883	2.29	18.492	11.599	0.241	22.442
3884	2.27	18.498	11.602	0.253	22.246
3885	2.258	18.505	11.605	0.26	22.128
3886	2.268	18.512	11.608	0.254	22.226
3887	2.282	18.519	11.611	0.246	22.364
3888	2.3	18.526	11.614	0.235	22.54
3889	2.308	18.532	11.617	0.231	22.618
3890	2.287	18.539	11.62	0.243	22.413
3891	2.276	18.546	11.623	0.249	22.305
3892	2.282	18.553	11.626	0.246	22.364
3893	2.286	18.56	11.629	0.244	22.403
3894	2.258	18.566	11.632	0.26	22.128
3895	2.254	18.573	11.635	0.262	22.089
3896	2.21	18.58	11.638	0.288	21.658
3897	2.227	18.586	11.64	0.278	21.825
3898	2.246	18.593	11.643	0.267	22.011
3899	2.268	18.6	11.646	0.254	22.226
3900	2.236	18.607	11.649	0.273	21.913
3901	2.22	18.613	11.652	0.282	21.756
3902	2.244	18.62	11.655	0.268	21.991
3903	2.254	18.627	11.658	0.262	22.089
3904	2.26	18.633	11.661	0.259	22.148
3905	2.25	18.64	11.664	0.265	22.05
3906	2.239	18.647	11.667	0.271	21.942
3907	2.218	18.653	11.67	0.284	21.736
3908	2.254	18.66	11.673	0.262	22.089
3909	2.246	18.667	11.676	0.267	22.011
3910	2.242	18.674	11.679	0.269	21.972
3911	2.238	18.68	11.682	0.272	21.932
3912	2.238	18.687	11.685	0.272	21.932
3913	2.252	18.694	11.688	0.264	22.07
3914	2.262	18.7	11.691	0.258	22.168
3915	2.268	18.707	11.694	0.254	22.226
3916	2.27	18.714	11.697	0.253	22.246
3917	2.274	18.721	11.7	0.251	22.285
3918	2.248	18.728	11.703	0.266	22.03
3919	2.25	18.734	11.706	0.265	22.05
3920	2.248	18.741	11.709	0.266	22.03
3921	2.262	18.748	11.712	0.258	22.168
3922	2.274	18.754	11.715	0.251	22.285
3923	2.262	18.761	11.718	0.258	22.168
3924	2.254	18.768	11.721	0.262	22.089
3925	2.226	18.775	11.724	0.279	21.815
3926	2.21	18.781	11.727	0.288	21.658
3927	2.236	18.788	11.73	0.273	21.913
3928	2.23	18.795	11.733	0.276	21.854
3929	2.235	18.801	11.736	0.274	21.903
3930	2.254	18.808	11.739	0.262	22.089
3931	2.294	18.815	11.742	0.239	22.481
3932	2.295	18.822	11.745	0.238	22.491
3933	2.278	18.828	11.748	0.248	22.324
3934	2.256	18.835	11.751	0.261	22.109
3935	2.268	18.842	11.754	0.254	22.226
3936	2.251	18.849	11.757	0.264	22.06
3937	2.258	18.855	11.76	0.26	22.128
3938	2.236	18.862	11.763	0.273	21.913
3939	2.22	18.869	11.766	0.282	21.756
3940	2.22	18.875	11.769	0.282	21.756
3941	2.236	18.882	11.772	0.273	21.913
3942	2.239	18.889	11.775	0.271	21.942
3943	2.232	18.895	11.778	0.275	21.874
3944	2.214	18.902	11.781	0.286	21.697
3945	2.21	18.909	11.784	0.288	21.658
3946	2.22	18.915	11.787	0.282	21.756
3947	2.246	18.922	11.79	0.267	22.011
3948	2.232	18.929	11.793	0.275	21.874
3949	2.206	18.935	11.796	0.291	21.619
3950	2.239	18.942	11.799	0.271	21.942
3951	2.226	18.949	11.802	0.279	21.815
3952	2.238	18.955	11.805	0.272	21.932
3953	2.222	18.962	11.808	0.281	21.776
3954	2.21	18.969	11.811	0.288	21.658
3955	2.23	18.975	11.814	0.276	21.854
3956	2.23	18.982	11.817	0.276	21.854
3957	2.226	18.988	11.82	0.279	21.815
3958	2.206	18.995	11.823	0.291	21.619
3959	2.178	19.002	11.826	0.307	21.344
3960	2.178	19.008	11.829	0.307	21.344
3961	2.182	19.015	11.832	0.305	21.384
3962	2.204	19.021	11.835	0.292	21.599
3963	2.25	19.028	11.838	0.265	22.05
3964	2.266	19.035	11.841	0.255	22.207
3965	2.234	19.041	11.844	0.274	21.893
3966	2.242	19.048	11.847	0.269	21.972
3967	2.212	19.055	11.85	0.287	21.678
3968	2.196	19.061	11.853	0.296	21.521
3969	2.192	19.068	11.856	0.299	21.482
3970	2.196	19.074	11.859	0.296	21.521
3971	2.214	19.081	11.862	0.286	21.697
3972	2.208	19.088	11.865	0.289	21.638
3973	2.174	19.094	11.868	0.309	21.305
3974	2.2	19.101	11.87	0.294	21.56
3975	2.214	19.107	11.873	0.286	21.697
3976	2.235	19.114	11.876	0.274	21.903
3977	2.207	19.12	11.879	0.29	21.629
3978	2.194	19.127	11.882	0.298	21.501
3979	2.199	19.134	11.885	0.295	21.55
3980	2.174	19.14	11.888	0.309	21.305
3981	2.175	19.147	11.891	0.309	21.315
3982	2.215	19.153	11.894	0.285	21.707
3983	2.206	19.16	11.897	0.291	21.619
3984	2.21	19.166	11.9	0.288	21.658
3985	2.223	19.173	11.903	0.281	21.785
3986	2.238	19.18	11.906	0.272	21.932
3987	2.196	19.186	11.909	0.296	21.521
3988	2.156	19.193	11.912	0.32	21.129
3989	2.188	19.199	11.915	0.301	21.442
3990	2.198	19.206	11.918	0.295	21.54
3991	2.226	19.212	11.921	0.279	21.815
3992	2.222	19.219	11.924	0.281	21.776
3993	2.22	19.226	11.927	0.282	21.756
3994	2.228	19.232	11.93	0.278	21.834
3995	2.194	19.239	11.933	0.298	21.501
3996	2.191	19.246	11.936	0.299	21.472
3997	2.23	19.252	11.939	0.276	21.854
3998	2.206	19.259	11.942	0.291	21.619
3999	2.198	19.265	11.945	0.295	21.54
4000	2.168	19.272	11.948	0.313	21.246
4001	2.19	19.278	11.951	0.3	21.462
4002	2.178	19.285	11.954	0.307	21.344
4003	2.206	19.291	11.957	0.291	21.619
4004	2.207	19.298	11.96	0.29	21.629
4005	2.215	19.305	11.963	0.285	21.707
4006	2.22	19.311	11.966	0.282	21.756
4007	2.166	19.318	11.969	0.314	21.227
